"","x","y","sp","Reference"
"284",-49.769797,-25.530491,"Cyathea corcovadensis","GBIF"
"285",-49.769444,-26.821389,"Cyathea delgadii","IFFSC"
"286",-49.769444,-26.821389,"Sphaeropteris gardneri","IFFSC"
"287",-49.768333,-27.99,"Dicksonia sellowiana","IFFSC"
"288",-49.72689819,-29.33530045,"Cyathea atrovirens","SpeciesLink"
"289",-49.7159,-26.0267,"Cyathea atrovirens","GBIF"
"290",-49.71580124,-25.7696991,"Cyathea corcovadensis","SpeciesLink"
"291",-49.68,-28.799722,"Cyathea phalerata","GBIF"
"292",-49.68,-27.36,"Cyathea feeana","GBIF"
"293",-49.68,-27.36,"Cyathea phalerata","IFFSC"
"294",-49.68,-26.55,"Alsophila setosa","IFFSC"
"295",-49.679444,-28.926667,"Alsophila setosa","GBIF"
"296",-49.678333,-26.908611,"Cyathea phalerata","GBIF"
"297",-49.65,-27.955556,"Lophosoria quadripinnata","GBIF"
"298",-49.65,-24.166667,"Cyathea atrovirens","GBIF"
"299",-49.65,-24.166667,"Cyathea phalerata","GBIF"
"300",-49.65,-24.166667,"Lophosoria quadripinnata","GBIF"
"301",-49.6356,-25.5839,"Gymnosphaera capensis","SpeciesLink"
"302",-49.62503789,-28.34081854,"Dicksonia sellowiana","GBIF"
"303",-49.618667,-25.219222,"Alsophila setosa","GBIF"
"304",-49.618667,-25.219222,"Cyathea corcovadensis","GBIF"
"305",-49.590555,-26.640278,"Cyathea feeana","GBIF"
"306",-49.590555,-26.640278,"Cyathea phalerata","GBIF"
"307",-49.590555,-26.640278,"Dicksonia sellowiana","GBIF"
"308",-49.59,-28.62,"Cyathea delgadii","GBIF"
"309",-49.59,-27.63,"Alsophila setosa","IFFSC"
"310",-49.59,-27.63,"Cyathea corcovadensis","GBIF"
"311",-49.59,-27.63,"Cyathea delgadii","GBIF"
"312",-49.59,-27.63,"Cyathea phalerata","IFFSC"
"313",-49.59,-27.63,"Dicksonia sellowiana","IFFSC"
"314",-49.59,-27.63,"Sphaeropteris gardneri","IFFSC"
"315",-49.59,-27.09,"Alsophila setosa","IFFSC"
"316",-49.59,-26.64,"Cyathea corcovadensis","IFFSC"
"317",-49.589444,-26.998056,"Cyathea delgadii","IFFSC"
"318",-49.589444,-26.998055,"Cyathea corcovadensis","GBIF"
"319",-49.588056,-26.911667,"Dicksonia sellowiana","IFFSC"
"320",-49.51779938,-27.05690002,"Gymnosphaera capensis","SpeciesLink"
"321",-49.509722,-27.265278,"Dicksonia sellowiana","GBIF"
"322",-49.509411,-27.282064,"Cyathea corcovadensis","GBIF"
"323",-49.502222,-27.360556,"Alsophila setosa","IFFSC"
"324",-49.500556,-27.630278,"Cyathea feeana","GBIF"
"325",-49.500278,-26.280278,"Cyathea feeana","GBIF"
"326",-49.5,-26.64,"Alsophila setosa","IFFSC"
"327",-49.5,-26.64,"Cyathea delgadii","GBIF"
"328",-49.498611,-28.443611,"Cyathea corcovadensis","GBIF"
"329",-49.498611,-28.443611,"Sphaeropteris gardneri","IFFSC"
"330",-49.498333,-28.082778,"Dicksonia sellowiana","IFFSC"
"331",-49.4975,-27.901389,"Alsophila setosa","GBIF"
"332",-49.497222,-28.529167,"Cyathea atrovirens","GBIF"
"333",-49.495833,-28.172222,"Alsophila setosa","GBIF"
"334",-49.4892,-27.79719,"Gymnosphaera capensis","SpeciesLink"
"335",-49.433333,-26.616667,"Sphaeropteris gardneri","GBIF"
"336",-49.429167,-26.910556,"Sphaeropteris gardneri","GBIF"
"337",-49.41556,-25.465491,"Cyathea phalerata","GBIF"
"338",-49.414814,-25.464931,"Cyathea feeana","GBIF"
"339",-49.414684,-25.470407,"Cyathea atrovirens","GBIF"
"340",-49.413217,-25.4736,"Alsophila setosa","GBIF"
"341",-49.413056,-28.526389,"Cyathea phalerata","GBIF"
"342",-49.413056,-28.526389,"Dicksonia sellowiana","GBIF"
"343",-49.412477,-25.471124,"Cyathea delgadii","GBIF"
"344",-49.411944,-28.259722,"Cyathea phalerata","GBIF"
"345",-49.411389,-26.910278,"Cyathea atrovirens","GBIF"
"346",-49.410833,-27.09,"Cyathea delgadii","GBIF"
"347",-49.410833,-27.09,"Cyathea hirsuta","GBIF"
"348",-49.410556,-26.315278,"Lophosoria quadripinnata","GBIF"
"349",-49.41,-28.17,"Cyathea delgadii","GBIF"
"350",-49.41,-28.17,"Sphaeropteris gardneri","IFFSC"
"351",-49.41,-27.54,"Cyathea phalerata","IFFSC"
"352",-49.41,-27.54,"Dicksonia sellowiana","IFFSC"
"353",-49.41,-27.18,"Cyathea phalerata","IFFSC"
"354",-49.41,-27,"Alsophila setosa","IFFSC"
"355",-49.41,-26.46,"Cyathea delgadii","IFFSC"
"356",-49.41,-26.46,"Cyathea phalerata","GBIF"
"357",-49.409167,-27.722222,"Cyathea corcovadensis","IFFSC"
"358",-49.409167,-27.722222,"Sphaeropteris gardneri","GBIF"
"359",-49.408889,-28.621944,"Alsophila setosa","GBIF"
"360",-49.4075,-26.7275,"Cyathea phalerata","GBIF"
"361",-49.40037,-24.94963,"Cyathea corcovadensis","GBIF"
"362",-49.40037,-24.949619,"Cyathea feeana","GBIF"
"363",-49.392778,-26.264167,"Alsophila setosa","GBIF"
"364",-49.37860107,-26.25029945,"Cyathea atrovirens","SpeciesLink"
"365",-49.3725,-26.559444,"Cyathea feeana","GBIF"
"366",-49.371944,-28.014167,"Gymnosphaera capensis","GBIF"
"367",-49.369722,-26.254722,"Cyathea phalerata","GBIF"
"368",-49.362222,-26.8625,"Cyathea hirsuta","GBIF"
"369",-49.358389,-25.45025,"Cyathea corcovadensis","GBIF"
"370",-49.33359909,-27.70030022,"Alsophila setosa","SpeciesLink"
"371",-49.32,-28.89,"Cyathea phalerata","IFFSC"
"372",-49.32,-27.988889,"Dicksonia sellowiana","IFFSC"
"373",-49.32,-27.45,"Cyathea atrovirens","GBIF"
"374",-49.32,-27.45,"Cyathea feeana","GBIF"
"375",-49.32,-27.45,"Lophosoria quadripinnata","GBIF"
"376",-49.32,-27.359722,"Cyathea delgadii","IFFSC"
"377",-49.32,-27.359722,"Dicksonia sellowiana","GBIF"
"378",-49.32,-26.999722,"Cyathea phalerata","IFFSC"
"379",-49.32,-26.55,"Alsophila setosa","IFFSC"
"380",-49.32,-26.55,"Dicksonia sellowiana","IFFSC"
"381",-49.32,-26.46,"Cyathea corcovadensis","GBIF"
"382",-49.319167,-28.260833,"Cyathea corcovadensis","GBIF"
"383",-49.315556,-28.617778,"Cyathea atrovirens","GBIF"
"384",-49.315556,-28.617778,"Cyathea delgadii","GBIF"
"385",-49.312888,-25.189934,"Gymnosphaera capensis","Fernandes 1997"
"386",-49.308333,-26.320833,"Cyathea hirsuta","GBIF"
"387",-49.304444,-26.255556,"Dicksonia sellowiana","GBIF"
"388",-49.29140091,-28.35890007,"Cyathea delgadii","SpeciesLink"
"389",-49.29140091,-28.35890007,"Dicksonia sellowiana","SpeciesLink"
"390",-49.2731,-25.4281,"Dicksonia sellowiana","SpeciesLink"
"391",-49.2613935,-24.82747399,"Cyathea delgadii","GBIF"
"392",-49.2608,-24.8236,"Sphaeropteris gardneri","SpeciesLink"
"393",-49.232222,-28.619167,"Cyathea corcovadensis","IFFSC"
"394",-49.232222,-28.619167,"Cyathea phalerata","GBIF"
"395",-49.231944,-28.352778,"Alsophila setosa","IFFSC"
"396",-49.230833,-27.989722,"Cyathea phalerata","GBIF"
"397",-49.230833,-27,"Cyathea atrovirens","GBIF"
"398",-49.23,-28.08,"Cyathea feeana","GBIF"
"399",-49.23,-27.9,"Cyathea delgadii","GBIF"
"400",-49.23,-27.359722,"Cyathea corcovadensis","GBIF"
"401",-49.23,-27.27,"Alsophila setosa","IFFSC"
"402",-49.23,-27.09,"Dicksonia sellowiana","IFFSC"
"403",-49.23,-26.999722,"Cyathea corcovadensis","IFFSC"
"404",-49.23,-26.64,"Cyathea atrovirens","GBIF"
"405",-49.23,-26.64,"Cyathea corcovadensis","IFFSC"
"406",-49.229444,-26.820833,"Cyathea delgadii","GBIF"
"407",-49.229444,-26.820833,"Cyathea phalerata","GBIF"
"408",-49.229167,-27.721111,"Dicksonia sellowiana","GBIF"
"409",-49.216667,-25.283333,"Cyathea atrovirens","GBIF"
"410",-49.216667,-25.283333,"Cyathea corcovadensis","GBIF"
"411",-49.212778,-28.186667,"Cyathea atrovirens","GBIF"
"412",-49.212778,-28.186667,"Lophosoria quadripinnata","GBIF"
"413",-49.200833,-25.635278,"Cyathea corcovadensis","GBIF"
"414",-49.191944,-26.200833,"Lophosoria quadripinnata","GBIF"
"415",-49.166667,-25.583333,"Cyathea phalerata","GBIF"
"416",-49.144167,-27.629722,"Cyathea phalerata","GBIF"
"417",-49.140833,-26.187222,"Cyathea corcovadensis","GBIF"
"418",-49.140833,-26.187222,"Cyathea feeana","GBIF"
"419",-49.14,-27.81,"Alsophila setosa","IFFSC"
"420",-49.14,-27.449722,"Dicksonia sellowiana","GBIF"
"421",-49.14,-27.449722,"Sphaeropteris gardneri","GBIF"
"422",-49.14,-27.27,"Cyathea phalerata","GBIF"
"423",-49.14,-27.000278,"Alsophila setosa","GBIF"
"424",-49.139722,-26.368056,"Cyathea atrovirens","GBIF"
