x;y;Species;Reference
-56.28333;-25.95;Cyathea atrovirens;GBIF
-55.016667;-26.8;Cyathea atrovirens;GBIF
-54.58333;-25.6;Cyathea atrovirens;GBIF
-55.58333;-27.26666;Cyathea atrovirens;GBIF
-55.76888;-26.25305;Cyathea atrovirens;GBIF
-55.763056;-26.273889;Cyathea atrovirens;GBIF
-55.543055;-25.693055;Cyathea atrovirens;GBIF
-55.443055;-26.097778;Cyathea atrovirens;GBIF
-46.93333;-24.25;Cyathea atrovirens;GBIF
-56.25;-25.71666;Cyathea atrovirens;GBIF
-55.93333;-26.03333;Cyathea atrovirens;GBIF
-54.80472;-25.63194;Cyathea atrovirens;GBIF
-52.647667;-23.934861;Cyathea atrovirens;GBIF
-56.25;-25.83333;Cyathea atrovirens;GBIF
-48.47889;-27.55167;Cyathea atrovirens;GBIF
-55;-25.5;Cyathea atrovirens;GBIF
-56;-25.16667;Cyathea atrovirens;GBIF
-48.913583;-25.810083;Cyathea atrovirens;GBIF
-50.706944;-24.100556;Cyathea atrovirens;GBIF
-49.861667;-29.253611;Cyathea atrovirens;GBIF
-50.013056;-29.588889;Cyathea atrovirens;GBIF
-51.019167;-29.677222;Cyathea atrovirens;GBIF
-49.77;-28.71;Cyathea atrovirens;GBIF
-48.919167;-27.032778;Cyathea atrovirens;GBIF
-48.778611;-26.8225;Cyathea atrovirens;GBIF
-49.588611;-28.708056;Cyathea atrovirens;GBIF
-46.250278;-23.990556;Cyathea atrovirens;GBIF
-52.374444;-29955;Cyathea atrovirens;GBIF
-47.058125;-23.734814;Cyathea atrovirens;GBIF
-46.958919;-23.675528;Cyathea atrovirens;GBIF
-48.666667;-25.316667;Cyathea atrovirens;GBIF
-48.683333;-25.25;Cyathea atrovirens;GBIF
-47.315833;-24.020278;Cyathea atrovirens;GBIF
-50.221667;-24.885278;Cyathea atrovirens;GBIF
-49234;-25.4466;Cyathea atrovirens;GBIF
-48.478611;-25.619167;Cyathea atrovirens;GBIF
-48.318889;-25.512222;Cyathea atrovirens;GBIF
-49.65;-24.166667;Cyathea atrovirens;GBIF
-48.2;-25.333333;Cyathea atrovirens;GBIF
-48.166667;-25.416667;Cyathea atrovirens;GBIF
-48.470889;-25.678722;Cyathea atrovirens;GBIF
-47.837167;-24.889167;Cyathea atrovirens;GBIF
-53.101194;-25.695972;Cyathea atrovirens;GBIF
-49.086667;-27.056944;Cyathea atrovirens;GBIF
-49.380556;-26.421667;Cyathea atrovirens;GBIF
-48.96;-27.18;Cyathea atrovirens;GBIF
-48.599444;-27.904722;Cyathea atrovirens;GBIF
-48.780556;-26.280278;Cyathea atrovirens;GBIF
-48.755833;-27.893333;Cyathea atrovirens;GBIF
-49.050556;-26.280278;Cyathea atrovirens;GBIF
-48.871389;-27.718889;Cyathea atrovirens;GBIF
-48.69;-27.81;Cyathea atrovirens;GBIF
-48.78;-27.99;Cyathea atrovirens;GBIF
-48.78;-27.72;Cyathea atrovirens;GBIF
-48.780833;-27.628889;Cyathea atrovirens;GBIF
-48.691667;-27.63;Cyathea atrovirens;GBIF
-49.410833;-27.09;Cyathea atrovirens;GBIF
-49.230833;-27;Cyathea atrovirens;GBIF
-48.960278;-26.999444;Cyathea atrovirens;GBIF
-49.14;-27.449722;Cyathea atrovirens;GBIF
-49.411389;-26.910278;Cyathea atrovirens;GBIF
-49.320556;-27;Cyathea atrovirens;GBIF
-49.23;-26.64;Cyathea atrovirens;GBIF
-48.69;-26.1;Cyathea atrovirens;GBIF
-48.87;-26.01;Cyathea atrovirens;GBIF
-48.870278;-27.539444;Cyathea atrovirens;GBIF
-48.87;-27.63;Cyathea atrovirens;GBIF
-48.761944;-27.878889;Cyathea atrovirens;GBIF
-49.139722;-26.368056;Cyathea atrovirens;GBIF
-48.69;-26.46;Cyathea atrovirens;GBIF
-49.32;-27.45;Cyathea atrovirens;GBIF
-49.86;-29.07;Cyathea atrovirens;GBIF
-48.69;-26.01;Cyathea atrovirens;GBIF
-48.601944;-27.149444;Cyathea atrovirens;GBIF
-48.973889;-26.77;Cyathea atrovirens;GBIF
-48.901944;-27.150556;Cyathea atrovirens;GBIF
-49.059722;-26.936667;Cyathea atrovirens;GBIF
-49.071944;-26.921389;Cyathea atrovirens;GBIF
-54.13;-26.88;Cyathea atrovirens;GBIF
-54.47;-26.65;Cyathea atrovirens;GBIF
-53.73;-26.28;Cyathea atrovirens;GBIF
-54.41;-25.88;Cyathea atrovirens;GBIF
-52.42580032;-29.71750069;Cyathea atrovirens;SpeciesLink
-50.7806015;-29.65060043;Cyathea atrovirens;SpeciesLink
-49.72689819;-29.33530045;Cyathea atrovirens;SpeciesLink
-48.80530167;-27.56609917;Cyathea atrovirens;SpeciesLink
-48.76750183;-27.51689911;Cyathea atrovirens;SpeciesLink
-48.91749954;-27.09810066;Cyathea atrovirens;SpeciesLink
-48.95890045;-26.9314003;Cyathea atrovirens;SpeciesLink
-48.82720184;-26.89970016;Cyathea atrovirens;SpeciesLink
-48.65420151;-26.89889908;Cyathea atrovirens;SpeciesLink
-48.67169952;-26.76390076;Cyathea atrovirens;SpeciesLink
-49.37860107;-26.25029945;Cyathea atrovirens;SpeciesLink
-48.63809967;-26.24329948;Cyathea atrovirens;SpeciesLink
-56.83;-26.05;Cyathea atrovirens;SpeciesLink
-56.88;-26.02;Cyathea atrovirens;SpeciesLink
-48.50920105;-25.52000046;Cyathea atrovirens;SpeciesLink
-47.84000015;-24.47999954;Cyathea atrovirens;SpeciesLink
-56.1236;-23.8067;Cyathea atrovirens;SpeciesLink
-46.3;-23.75;Cyathea atrovirens;SpeciesLink
-48.6272;-27.6156;Cyathea atrovirens;SpeciesLink
-48.5297;-24.1803;Cyathea atrovirens;SpeciesLink
-48.78;-27.09;Cyathea atrovirens;IFFSC
-48.869722;-27.000556;Cyathea atrovirens;IFFSC
-48.549167;-27.740278;Cyathea corcovadensis;GBIF
-49.23;-27.27;Cyathea corcovadensis;GBIF
-48.78;-28.08;Cyathea corcovadensis;GBIF
-49.68;-27.36;Cyathea corcovadensis;GBIF
-49.14;-27.449722;Cyathea corcovadensis;GBIF
-50.299722;-25.69;Cyathea corcovadensis;GBIF
-48.542556;-27.172639;Cyathea corcovadensis;GBIF
-50.560333;-24.33325;Cyathea corcovadensis;GBIF
-48.333333;-25.283333;Cyathea corcovadensis;GBIF
-49.1348;-28.0448;Cyathea corcovadensis;GBIF
-48.652778;-25.300278;Cyathea corcovadensis;GBIF
-49.3813;-25.0758;Cyathea corcovadensis;GBIF
-49.3109;-25188;Cyathea corcovadensis;GBIF
-49.0036;-25.3887;Cyathea corcovadensis;GBIF
-49.40037;-24.94963;Cyathea corcovadensis;GBIF
